писарь	переписывать	9	2090	3443	8.27	92.79	10.54	2.99	5.62	Примеры
писарь	переписать	8	2090	4539	7.97	76.18	9.91	2.82	5.29	Примеры
писарь	сказывать	12	2090	10552	7.73	103.80	10.29	3.45	5.95	Примеры
писарь	записывать	7	2090	11784	7.10	51.50	8.56	2.62	4.74	Примеры
писарь	проговорить	12	2090	32046	6.74	77.37	9.18	3.41	5.60	Примеры
писарь	крикнуть	13	2090	36946	6.69	82.23	9.27	3.55	5.74	Примеры
писарь	отвечать	38	2090	123435	6.59	230.83	11.29	6.05	8.26	Примеры
писарь	возразить	6	2090	17913	6.58	37.35	7.68	2.41	4.30	Примеры
писарь	записать	6	2090	21695	6.41	35.10	7.49	2.40	4.24	Примеры
писарь	признаться	5	2090	18262	6.38	29.15	7.11	2.19	3.95	Примеры
писарь	закричать	7	2090	27491	6.34	39.82	7.71	2.59	4.47	Примеры
писарь	прочесть	9	2090	36763	6.32	50.51	8.18	2.93	4.90	Примеры
писарь	прибавить	6	2090	26993	6.21	32.53	7.27	2.39	4.17	Примеры
писарь	приезжать	6	2090	32549	6.03	30.35	7.08	2.38	4.10	Примеры
писарь	писать	36	2090	214435	5.99	176.06	10.57	5.80	7.83	Примеры
писарь	явиться	10	2090	59273	5.97	48.88	8.01	3.06	4.95	Примеры
писарь	подать	7	2090	41558	5.96	34.19	7.30	2.56	4.32	Примеры
писарь	сидеть	31	2090	214762	5.84	142.50	10.12	5.35	7.36	Примеры
писарь	спрашивать	11	2090	82732	5.74	48.73	7.97	3.18	5.03	Примеры
писарь	читать	19	2090	147451	5.72	83.10	9.03	4.17	6.14	Примеры
писарь	продолжать	14	2090	110413	5.70	60.77	8.40	3.58	5.48	Примеры
писарь	объявить	5	2090	42986	5.59	20.86	6.26	2.13	3.65	Примеры
писарь	звать	6	2090	52859	5.57	24.76	6.60	2.33	3.92	Примеры
писарь	согласиться	6	2090	53198	5.56	24.68	6.59	2.33	3.92	Примеры
писарь	спросить	23	2090	210897	5.56	93.32	9.24	4.55	6.49	Примеры
писарь	прийти	24	2090	220206	5.56	97.35	9.33	4.65	6.58	Примеры
писарь	убить	8	2090	74634	5.52	32.14	7.11	2.68	4.37	Примеры
писарь	сообщить	5	2090	48478	5.47	19.72	6.14	2.12	3.60	Примеры
писарь	сказать	89	2090	920103	5.45	343.43	11.83	8.89	10.25	Примеры
писарь	составлять	6	2090	60505	5.44	23.22	6.46	2.31	3.86	Примеры
писарь	начать	18	2090	188480	5.43	68.47	8.62	3.99	5.87	Примеры
писарь	заметить	10	2090	109440	5.37	37.17	7.40	2.97	4.69	Примеры
писарь	входить	5	2090	53876	5.37	18.72	6.03	2.10	3.56	Примеры
писарь	войти	8	2090	91210	5.33	29.12	6.91	2.65	4.28	Примеры
писарь	ответить	11	2090	131106	5.29	39.14	7.51	3.10	4.82	Примеры
писарь	принести	5	2090	61643	5.24	17.46	5.90	2.08	3.50	Примеры
писарь	написать	11	2090	139633	5.23	37.85	7.44	3.08	4.79	Примеры
писарь	приехать	9	2090	116341	5.21	30.65	7.02	2.78	4.42	Примеры
писарь	посмотреть	8	2090	103641	5.20	27.21	6.79	2.62	4.22	Примеры
писарь	подумать	8	2090	103930	5.20	27.17	6.78	2.62	4.22	Примеры
писарь	держать	6	2090	77555	5.20	20.43	6.21	2.27	3.76	Примеры
писарь	кричать	5	2090	65284	5.18	16.93	5.84	2.07	3.48	Примеры
писарь	ехать	8	2090	107479	5.17	26.67	6.75	2.62	4.20	Примеры
писарь	проходить	5	2090	68443	5.14	16.49	5.79	2.07	3.46	Примеры
писарь	лежать	9	2090	129964	5.10	28.81	6.91	2.76	4.37	Примеры
писарь	сесть	5	2090	72162	5.09	16.00	5.74	2.06	3.43	Примеры
писарь	требовать	5	2090	80812	4.98	14.97	5.62	2.03	3.38	Примеры
писарь	говорить	48	2090	800932	4.97	141.73	10.12	6.28	7.97	Примеры
писарь	брать	5	2090	83439	4.95	14.68	5.59	2.03	3.37	Примеры
писарь	дать	13	2090	273947	4.73	32.77	7.27	3.18	4.81	Примеры
писарь	просить	6	2090	127483	4.71	15.02	5.72	2.16	3.51	Примеры
писарь	взять	10	2090	226399	4.66	23.94	6.67	2.76	4.29	Примеры
писарь	делать	12	2090	286685	4.60	27.61	6.98	3.00	4.58	Примеры
писарь	жить	12	2090	293641	4.58	27.11	6.96	2.99	4.56	Примеры
писарь	идти	15	2090	401946	4.49	31.57	7.32	3.29	4.91	Примеры
писарь	оказаться	6	2090	160027	4.49	12.66	5.49	2.08	3.38	Примеры
писарь	являться	5	2090	136566	4.46	10.34	5.10	1.90	3.11	Примеры
писарь	думать	11	2090	303081	4.46	22.61	6.67	2.81	4.33	Примеры
писарь	выйти	7	2090	192721	4.46	14.39	5.76	2.24	3.59	Примеры
писарь	хотеть	13	2090	368985	4.43	26.08	6.97	3.03	4.60	Примеры
писарь	стоять	9	2090	283838	4.33	16.46	6.13	2.47	3.89	Примеры
писарь	пойти	8	2090	259927	4.30	14.24	5.87	2.32	3.69	Примеры
писарь	увидеть	5	2090	162649	4.29	8.89	4.93	1.83	3.00	Примеры
писарь	видеть	10	2090	374556	4.16	15.51	6.17	2.50	3.93	Примеры
писарь	стать	14	2090	554259	4.10	20.52	6.79	2.91	4.45	Примеры
писарь	получить	5	2090	208476	4.05	6.91	4.68	1.72	2.83	Примеры
писарь	сделать	7	2090	292888	4.04	9.65	5.35	2.03	3.29	Примеры
писарь	знать	15	2090	641771	4.03	20.19	6.85	2.95	4.49	Примеры
писарь	смотреть	5	2090	237499	3.92	5.93	4.55	1.64	2.73	Примеры
писарь	быть	94	2090	4841784	3.84	102.60	10.33	6.91	8.45	Примеры
писарь	казаться	5	2090	265901	3.80	5.12	4.43	1.57	2.64	Примеры
писарь	бы	12	2090	756419	3.64	9.54	6.01	2.25	3.67	Примеры
писарь	мочь	13	2090	1137059	3.31	5.36	5.85	1.85	3.28	Примеры

год	встречать	1046	109459	33794	9.77	7723.33	18.57	32.04	24.39	Примеры
год	пройти	1532	109459	147496	9.57	7997.46	18.24	38.04	26.34	Примеры
год	прожить	523	109459	23980	9.15	3492.27	16.83	22.56	19.49	Примеры
год	встретить	609	109459	61909	9.05	3109.60	16.34	23.94	19.78	Примеры
год	наступить	445	109459	26509	8.97	2739.44	16.25	20.73	18.35	Примеры
год	идти	1239	109459	401946	8.67	3608.95	16.60	31.86	23.00	Примеры
год	работать	631	109459	172071	8.59	2035.62	15.42	23.12	18.88	Примеры
год	провести	379	109459	68847	8.54	1510.45	14.81	18.43	16.52	Примеры
год	исполниться	247	109459	7037	8.54	1884.62	15.81	15.59	15.70	Примеры
год	начаться	370	109459	69909	8.51	1446.93	14.72	18.17	16.36	Примеры
год	истечь	231	109459	2650	8.51	2193.01	16.58	15.15	15.85	Примеры
год	жить	825	109459	293641	8.50	2262.37	15.69	25.73	20.10	Примеры
год	получать	358	109459	67282	8.49	1403.59	14.66	17.88	16.19	Примеры
год	умереть	378	109459	81956	8.47	1380.10	14.63	18.21	16.32	Примеры
год	родиться	260	109459	36823	8.36	1159.71	14.31	15.46	14.87	Примеры
